predict case 0 , predict result/given label= 0.541903/1
predict case 1 , predict result/given label= 0.528712/1
predict case 2 , predict result/given label= 0.413391/1
predict case 3 , predict result/given label= 0.075333/1
predict case 4 , predict result/given label= 0.286520/1
predict case 5 , predict result/given label= 0.342843/1
predict case 6 , predict result/given label= 0.510618/1
predict case 7 , predict result/given label= 0.455010/1
predict case 8 , predict result/given label= 0.267082/1
predict case 9 , predict result/given label= 0.710000/1
predict case 10 , predict result/given label= 0.627817/1
predict case 11 , predict result/given label= 0.446533/1
predict case 12 , predict result/given label= 0.850123/1
predict case 13 , predict result/given label= 0.615866/1
predict case 14 , predict result/given label= 0.714082/1
predict case 15 , predict result/given label= 0.075331/1
predict case 16 , predict result/given label= 0.721380/1
predict case 17 , predict result/given label= 0.074906/1
predict case 18 , predict result/given label= 0.721527/1
predict case 19 , predict result/given label= 0.365289/1
predict case 20 , predict result/given label= 0.249659/1
predict case 21 , predict result/given label= 0.617680/1
predict case 22 , predict result/given label= 0.589163/1
predict case 23 , predict result/given label= 0.455076/1
predict case 24 , predict result/given label= 0.471066/1
predict case 25 , predict result/given label= 0.397598/1
predict case 26 , predict result/given label= 0.269493/1
predict case 27 , predict result/given label= 0.607857/1
predict case 28 , predict result/given label= 0.763104/1
predict case 29 , predict result/given label= 0.315009/1
predict case 30 , predict result/given label= 0.781853/1
predict case 31 , predict result/given label= 0.598153/1
predict case 32 , predict result/given label= 0.365460/1
predict case 33 , predict result/given label= 0.812471/1
predict case 34 , predict result/given label= 0.501976/1
predict case 35 , predict result/given label= 0.528857/1
predict case 36 , predict result/given label= 0.482272/1
predict case 37 , predict result/given label= 0.661996/1
predict case 38 , predict result/given label= 0.752032/1
predict case 39 , predict result/given label= 0.401071/1
predict case 40 , predict result/given label= 0.387245/1
predict case 41 , predict result/given label= 0.810599/1
predict case 42 , predict result/given label= 0.892728/1
predict case 43 , predict result/given label= 0.172540/1
predict case 44 , predict result/given label= 0.638505/1
predict case 45 , predict result/given label= 0.492455/1
predict case 46 , predict result/given label= 0.365649/0
predict case 47 , predict result/given label= 0.353303/0
predict case 48 , predict result/given label= 0.133647/0
predict case 49 , predict result/given label= 0.361663/0
predict case 50 , predict result/given label= 0.073500/0
predict case 51 , predict result/given label= 0.262879/0
predict case 52 , predict result/given label= 0.074906/0
predict case 53 , predict result/given label= 0.744278/0
predict case 54 , predict result/given label= 0.182166/0
predict case 55 , predict result/given label= 0.075144/0
predict case 56 , predict result/given label= 0.468255/0
predict case 57 , predict result/given label= 0.077110/0
predict case 58 , predict result/given label= 0.266117/0
predict case 59 , predict result/given label= 0.545774/0
predict case 60 , predict result/given label= 0.111028/0
predict case 61 , predict result/given label= 0.165271/0
predict case 62 , predict result/given label= 0.710717/0
predict case 63 , predict result/given label= 0.074961/0
predict case 64 , predict result/given label= 0.488569/0
predict case 65 , predict result/given label= 0.360552/0
predict case 66 , predict result/given label= 0.266055/0
predict case 67 , predict result/given label= 0.262822/0
predict case 68 , predict result/given label= 0.464776/0
predict case 69 , predict result/given label= 0.236089/0
predict case 70 , predict result/given label= 0.256836/0
predict case 71 , predict result/given label= 0.348696/0
predict case 72 , predict result/given label= 0.225382/0
predict case 73 , predict result/given label= 0.237736/0
predict case 74 , predict result/given label= 0.347388/0
predict case 75 , predict result/given label= 0.100267/0
predict case 76 , predict result/given label= 0.551546/0
predict case 77 , predict result/given label= 0.373963/0
predict case 78 , predict result/given label= 0.224502/0
predict case 79 , predict result/given label= 0.455232/0
predict case 80 , predict result/given label= 0.417615/0
predict case 81 , predict result/given label= 0.441729/0
predict case 82 , predict result/given label= 0.075326/0
predict case 83 , predict result/given label= 0.102756/0
predict case 84 , predict result/given label= 0.239047/0
predict case 85 , predict result/given label= 0.089141/0
predict case 86 , predict result/given label= 0.464353/0
predict case 87 , predict result/given label= 0.320728/0
predict case 88 , predict result/given label= 0.145895/0
predict case 89 , predict result/given label= 0.670156/0
predict case 90 , predict result/given label= 0.273535/0
predict case 91 , predict result/given label= 0.366468/0
